"","condition","phase","itemtype","token","category","distortion","pat_index"
"1",1,1,1,1,1,1,82
"2",1,1,1,2,1,1,90
"3",1,1,1,3,1,1,13
"4",1,1,1,4,1,1,89
"5",1,1,1,5,1,1,61
"6",1,1,1,6,1,1,10
"7",1,1,1,7,1,1,27
"8",1,1,1,8,1,1,51
"9",1,1,1,9,1,1,97
"10",1,1,1,1,2,1,97
"11",1,1,1,2,2,1,16
"12",1,1,1,3,2,1,96
"13",1,1,1,4,2,1,93
"14",1,1,1,5,2,1,47
"15",1,1,1,6,2,1,77
"16",1,1,1,7,2,1,14
"17",1,1,1,8,2,1,40
"18",1,1,1,9,2,1,85
"19",1,1,1,1,3,1,80
"20",1,1,1,2,3,1,95
"21",1,1,1,3,3,1,65
"22",1,1,1,4,3,1,4
"23",1,1,1,5,3,1,82
"24",1,1,1,6,3,1,89
"25",1,1,1,7,3,1,64
"26",1,1,1,8,3,1,71
"27",1,1,1,9,3,1,69
"28",1,2,1,1,1,1,82
"29",1,2,1,2,1,1,90
"30",1,2,1,3,1,1,13
"31",1,2,1,4,1,1,89
"32",1,2,1,5,1,1,61
"33",1,2,1,6,1,1,10
"34",1,2,1,7,1,1,27
"35",1,2,1,8,1,1,51
"36",1,2,1,9,1,1,97
"37",1,2,1,1,2,1,97
"38",1,2,1,2,2,1,16
"39",1,2,1,3,2,1,96
"40",1,2,1,4,2,1,93
"41",1,2,1,5,2,1,47
"42",1,2,1,6,2,1,77
"43",1,2,1,7,2,1,14
"44",1,2,1,8,2,1,40
"45",1,2,1,9,2,1,85
"46",1,2,1,1,3,1,80
"47",1,2,1,2,3,1,95
"48",1,2,1,3,3,1,65
"49",1,2,1,4,3,1,4
"50",1,2,1,5,3,1,82
"51",1,2,1,6,3,1,89
"52",1,2,1,7,3,1,64
"53",1,2,1,8,3,1,71
"54",1,2,1,9,3,1,69
"55",1,2,2,0,1,0,0
"56",1,2,2,0,2,0,0
"57",1,2,2,0,3,0,0
"58",1,2,3,1,1,1,140
"59",1,2,3,2,1,1,165
"60",1,2,3,3,1,1,117
"61",1,2,3,1,2,1,171
"62",1,2,3,2,2,1,104
"63",1,2,3,3,2,1,128
"64",1,2,3,1,3,1,105
"65",1,2,3,2,3,1,110
"66",1,2,3,3,3,1,181
"67",1,2,4,1,1,2,170
"68",1,2,4,2,1,2,132
"69",1,2,4,3,1,2,194
"70",1,2,4,4,1,2,104
"71",1,2,4,5,1,2,143
"72",1,2,4,6,1,2,137
"73",1,2,4,1,2,2,177
"74",1,2,4,2,2,2,179
"75",1,2,4,3,2,2,119
"76",1,2,4,4,2,2,148
"77",1,2,4,5,2,2,143
"78",1,2,4,6,2,2,162
"79",1,2,4,1,3,2,171
"80",1,2,4,2,3,2,175
"81",1,2,4,3,3,2,128
"82",1,2,4,4,3,2,166
"83",1,2,4,5,3,2,163
"84",1,2,4,6,3,2,116
"85",1,2,5,1,1,3,112
"86",1,2,5,2,1,3,150
"87",1,2,5,3,1,3,195
"88",1,2,5,4,1,3,134
"89",1,2,5,5,1,3,157
"90",1,2,5,6,1,3,122
"91",1,2,5,7,1,3,171
"92",1,2,5,8,1,3,124
"93",1,2,5,9,1,3,147
"94",1,2,5,1,2,3,170
"95",1,2,5,2,2,3,189
"96",1,2,5,3,2,3,195
"97",1,2,5,4,2,3,154
"98",1,2,5,5,2,3,114
"99",1,2,5,6,2,3,115
"100",1,2,5,7,2,3,125
"101",1,2,5,8,2,3,179
"102",1,2,5,9,2,3,124
"103",1,2,5,1,3,3,182
"104",1,2,5,2,3,3,125
"105",1,2,5,3,3,3,192
"106",1,2,5,4,3,3,134
"107",1,2,5,5,3,3,119
"108",1,2,5,6,3,3,124
"109",1,2,5,7,3,3,158
"110",1,2,5,8,3,3,145
"111",1,2,5,9,3,3,133
"112",1,2,6,0,1,3,126
"113",1,2,6,0,2,3,129
"114",1,2,6,0,3,3,110
"115",2,1,1,1,1,2,82
"116",2,1,1,2,1,2,90
"117",2,1,1,3,1,2,13
"118",2,1,1,4,1,2,89
"119",2,1,1,5,1,2,61
"120",2,1,1,6,1,2,10
"121",2,1,1,7,1,2,27
"122",2,1,1,8,1,2,51
"123",2,1,1,9,1,2,97
"124",2,1,1,1,2,2,97
"125",2,1,1,2,2,2,16
"126",2,1,1,3,2,2,96
"127",2,1,1,4,2,2,93
"128",2,1,1,5,2,2,47
"129",2,1,1,6,2,2,77
"130",2,1,1,7,2,2,14
"131",2,1,1,8,2,2,40
"132",2,1,1,9,2,2,85
"133",2,1,1,1,3,2,80
"134",2,1,1,2,3,2,95
"135",2,1,1,3,3,2,65
"136",2,1,1,4,3,2,4
"137",2,1,1,5,3,2,82
"138",2,1,1,6,3,2,89
"139",2,1,1,7,3,2,64
"140",2,1,1,8,3,2,71
"141",2,1,1,9,3,2,69
"142",2,2,1,1,1,2,82
"143",2,2,1,2,1,2,90
"144",2,2,1,3,1,2,13
"145",2,2,1,4,1,2,89
"146",2,2,1,5,1,2,61
"147",2,2,1,6,1,2,10
"148",2,2,1,7,1,2,27
"149",2,2,1,8,1,2,51
"150",2,2,1,9,1,2,97
"151",2,2,1,1,2,2,97
"152",2,2,1,2,2,2,16
"153",2,2,1,3,2,2,96
"154",2,2,1,4,2,2,93
"155",2,2,1,5,2,2,47
"156",2,2,1,6,2,2,77
"157",2,2,1,7,2,2,14
"158",2,2,1,8,2,2,40
"159",2,2,1,9,2,2,85
"160",2,2,1,1,3,2,80
"161",2,2,1,2,3,2,95
"162",2,2,1,3,3,2,65
"163",2,2,1,4,3,2,4
"164",2,2,1,5,3,2,82
"165",2,2,1,6,3,2,89
"166",2,2,1,7,3,2,64
"167",2,2,1,8,3,2,71
"168",2,2,1,9,3,2,69
"169",2,2,2,0,1,0,0
"170",2,2,2,0,2,0,0
"171",2,2,2,0,3,0,0
"172",2,2,3,1,1,1,140
"173",2,2,3,2,1,1,165
"174",2,2,3,3,1,1,117
"175",2,2,3,1,2,1,171
"176",2,2,3,2,2,1,104
"177",2,2,3,3,2,1,128
"178",2,2,3,1,3,1,105
"179",2,2,3,2,3,1,110
"180",2,2,3,3,3,1,181
"181",2,2,4,1,1,2,170
"182",2,2,4,2,1,2,132
"183",2,2,4,3,1,2,194
"184",2,2,4,4,1,2,104
"185",2,2,4,5,1,2,143
"186",2,2,4,6,1,2,137
"187",2,2,4,1,2,2,177
"188",2,2,4,2,2,2,179
"189",2,2,4,3,2,2,119
"190",2,2,4,4,2,2,148
"191",2,2,4,5,2,2,143
"192",2,2,4,6,2,2,162
"193",2,2,4,1,3,2,171
"194",2,2,4,2,3,2,175
"195",2,2,4,3,3,2,128
"196",2,2,4,4,3,2,166
"197",2,2,4,5,3,2,163
"198",2,2,4,6,3,2,116
"199",2,2,5,1,1,3,112
"200",2,2,5,2,1,3,150
"201",2,2,5,3,1,3,195
"202",2,2,5,4,1,3,134
"203",2,2,5,5,1,3,157
"204",2,2,5,6,1,3,122
"205",2,2,5,7,1,3,171
"206",2,2,5,8,1,3,124
"207",2,2,5,9,1,3,147
"208",2,2,5,1,2,3,170
"209",2,2,5,2,2,3,189
"210",2,2,5,3,2,3,195
"211",2,2,5,4,2,3,154
"212",2,2,5,5,2,3,114
"213",2,2,5,6,2,3,115
