"","condition","ID","block","Pr_corr_sub"
"1",1,"1",1,0.740740740740741
"2",1,"1",2,0.555555555555556
"3",1,"1",3,0.703703703703704
"4",1,"1",4,0.703703703703704
"5",1,"1",5,0.851851851851852
"6",1,"1",6,0.851851851851852
"7",1,"1",7,0.888888888888889
"8",1,"1",8,0.925925925925926
"9",1,"1",9,0.962962962962963
"10",1,"1",10,1
"11",1,"102",1,0.592592592592593
"12",1,"102",2,0.62962962962963
"13",1,"102",3,0.740740740740741
"14",1,"102",4,0.814814814814815
"15",1,"102",5,0.777777777777778
"16",1,"102",6,0.851851851851852
"17",1,"102",7,0.814814814814815
"18",1,"102",8,0.925925925925926
"19",1,"102",9,0.740740740740741
"20",1,"102",10,0.962962962962963
"21",1,"106",1,0.518518518518518
"22",1,"106",2,0.62962962962963
"23",1,"106",3,0.555555555555556
"24",1,"106",4,0.814814814814815
"25",1,"106",5,0.888888888888889
"26",1,"106",6,0.777777777777778
"27",1,"106",7,0.666666666666667
"28",1,"106",8,0.925925925925926
"29",1,"106",9,0.925925925925926
"30",1,"106",10,0.851851851851852
"31",1,"110",1,0.444444444444444
"32",1,"110",2,0.925925925925926
"33",1,"110",3,0.740740740740741
"34",1,"110",4,0.777777777777778
"35",1,"110",5,0.888888888888889
"36",1,"110",6,0.962962962962963
"37",1,"110",7,0.925925925925926
"38",1,"110",8,0.925925925925926
"39",1,"110",9,0.962962962962963
"40",1,"110",10,0.851851851851852
"41",1,"114",1,0.481481481481481
"42",1,"114",2,0.740740740740741
"43",1,"114",3,0.814814814814815
"44",1,"114",4,1
"45",1,"114",5,1
"46",1,"114",6,0.962962962962963
"47",1,"114",7,1
"48",1,"114",8,0.962962962962963
"49",1,"114",9,1
"50",1,"114",10,1
"51",1,"122",1,0.703703703703704
"52",1,"122",2,0.888888888888889
"53",1,"122",3,0.925925925925926
"54",1,"122",4,0.925925925925926
"55",1,"122",5,0.962962962962963
"56",1,"122",6,0.925925925925926
"57",1,"122",7,0.888888888888889
"58",1,"122",8,1
"59",1,"122",9,0.962962962962963
"60",1,"122",10,1
"61",1,"13",1,0.777777777777778
"62",1,"13",2,0.888888888888889
"63",1,"13",3,0.740740740740741
"64",1,"13",4,0.888888888888889
"65",1,"13",5,1
"66",1,"13",6,0.777777777777778
"67",1,"13",7,1
"68",1,"13",8,0.740740740740741
"69",1,"13",9,0.925925925925926
"70",1,"13",10,0.888888888888889
"71",1,"201",1,0.814814814814815
"72",1,"201",2,0.888888888888889
"73",1,"201",3,0.851851851851852
"74",1,"201",4,0.925925925925926
"75",1,"201",5,0.962962962962963
"76",1,"201",6,0.888888888888889
"77",1,"201",7,0.777777777777778
"78",1,"201",8,0.814814814814815
"79",1,"201",9,0.962962962962963
