model,itemtype,obs,pred
1,1,0.642401021666667,0.629497706119219
1,2,0.747126437,0.609445653488943
1,3,0.666666666777778,0.584482577288798
1,4,0.547892720111111,0.558055265704779
1,5,0.443167305148148,0.502661629328952
1,6,0.448275862,0.431256986605532
2,1,0.642401021666667,0.561613863055208
2,2,0.747126437,0.662986591451237
2,3,0.666666666777778,0.637543441107338
2,4,0.547892720111111,0.577269724390142
2,5,0.443167305148148,0.490373936346443
2,6,0.448275862,0.311500829573359
3,1,0.642401021666667,0.55854560701771
3,2,0.747126437,0.65824398716276
3,3,0.666666666777778,0.637057747122178
3,4,0.547892720111111,0.577640772277773
3,5,0.443167305148148,0.489727198466598
3,6,0.448275862,0.291910475892269
